"","Protein","Gene","Description","Fold_Change","p_Value"
"2511","MPP2_MOUSE|Q9WV34","Mpp2","MAGUK p55 subfamily member 2",-1.66,0.000784
"2512","MPP3_MOUSE|O88910","Mpp3","MAGUK p55 subfamily member 3",-3.3,0.000227
"2513","MPP5_MOUSE|Q9JLB2","Mpp5","MAGUK p55 subfamily member 5",-7.25,0.000745
"2514","MPP6_MOUSE|Q9JLB0","Mpp6","MAGUK p55 subfamily member 6",-3.06,0.00153
"2515","MPP6_MOUSE|Q9JLB0-2","Mpp6","MAGUK p55 subfamily member 6 (isoform 2)",-3.19,0.00102
"2516","MPPA_MOUSE|Q9DC61","Pmpca","Mitochondrial-processing peptidase subunit alpha",-1.59,0.00682
"2517","MPPB_MOUSE|Q9CXT8","Pmpcb","Mitochondrial-processing peptidase subunit beta",-1.62,0.00385
"2518","MPRD_MOUSE|P24668","M6pr","Cation-dependent mannose-6-phosphate receptor",-1.39,0.033
"2519","MPRI_MOUSE|Q07113","Igf2r","Cation-independent mannose-6-phosphate receptor",-1.75,0.0109
"2520","MPRIP_MOUSE|P97434","Mprip","Myosin phosphatase Rho-interacting protein",-3.62,0.000978
"2521","MPV17_MOUSE|P19258","Mpv17","Protein Mpv17",-1.31,0.112
"2522","MRCKA_MOUSE|Q3UU96","Cdc42bpa","Serine/threonine-protein kinase MRCK alpha",-3.56,0.00248
"2523","MRCKB_MOUSE|Q7TT50","Cdc42bpb","Serine/threonine-protein kinase MRCK beta",-2.77,0.00165
"2524","MRE11_MOUSE|Q61216","Mre11a","Double-strand break repair protein MRE11A",-3.7,0.00377
"2525","MRP_MOUSE|P28667","Marcksl1","MARCKS-related protein",-1.21,0.00667
"2526","MSH6_MOUSE|P54276","Msh6","DNA mismatch repair protein Msh6",-1.4,0.0176
"2527","MSI2H_MOUSE|Q920Q6","Msi2","RNA-binding protein Musashi homolog 2",-1.44,0.000343
"2528","MSRA_MOUSE|Q9D6Y7","Msra","Mitochondrial peptide methionine sulfoxide reductase",-1.71,0.00453
"2529","MSTO1_MOUSE|Q2YDW2","Msto1","Protein misato homolog 1",-2.66,0.000223
"2530","MT1_MOUSE|P02802","Mt1","Metallothionein-1",-1.39,0.0673
"2531","MT2_MOUSE|P02798","Mt2","Metallothionein-2",-1.15,0.175
"2532","MT3_MOUSE|P28184","Mt3","Metallothionein-3",-1.25,0.263
"2533","MTA1_MOUSE|Q8K4B0","Mta1","Metastasis-associated protein MTA1",-2.39,0.00106
"2534","MTA2_MOUSE|Q9R190","Mta2","Metastasis-associated protein MTA2",-2,0.00342
"2535","MTA3_MOUSE|Q924K8","Mta3","Metastasis-associated protein MTA3",-1.9,0.00221
"2536","MTA70_MOUSE|Q8C3P7","Mettl3","N6-adenosine-methyltransferase subunit METTL3",-2.6,0.000612
"2537","MTAP_MOUSE|Q9CQ65","Mtap","S-methyl-5'-thioadenosine phosphorylase",-1.12,0.173
"2538","MTAP2_MOUSE|P20357","Map2","Microtubule-associated protein 2",-28.7,0.000438
"2539","MTCH1_MOUSE|Q791T5","Mtch1","Mitochondrial carrier homolog 1",-1.47,0.0118
"2540","MTCH2_MOUSE|Q791V5","Mtch2","Mitochondrial carrier homolog 2",-1.51,0.0117
"2541","MTCL1_MOUSE|Q3UHU5","Mtcl1","Microtubule cross-linking factor 1",-9.91,0.00191
"2542","MTDC_MOUSE|P18155","Mthfd2","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",-1.1,0.0937
"2543","MTF1_MOUSE|Q07243","Mtf1","Metal regulatory transcription factor 1",-8.36,0.000469
"2544","MTL26_MOUSE|Q9DCS2",NA,NA,-1.56,0.0222
"2545","MTMR1_MOUSE|Q9Z2C4","Mtmr1","Myotubularin-related protein 1",-1.98,0.000498
"2546","MTMR2_MOUSE|Q9Z2D1","Mtmr2","Myotubularin-related protein 2",-1.93,0.000885
"2547","MTMR3_MOUSE|Q8K296","Mtmr3","Myotubularin-related protein 3",-2.63,0.00139
"2548","MTMR5_MOUSE|Q6ZPE2","Sbf1","Myotubularin-related protein 5",-1.7,0.000679
"2549","MTMR5_MOUSE|Q6ZPE2-2","Sbf1","Myotubularin-related protein 5 (isoform 2)",-1.59,0.00569
"2550","MTMR6_MOUSE|Q8VE11","Mtmr6","Myotubularin-related protein 6",-1.73,0.000455
"2551","MTMR7_MOUSE|Q9Z2C9","Mtmr7","Myotubularin-related protein 7",-2.25,0.00518
"2552","MTMR9_MOUSE|Q9Z2D0","Mtmr9","Myotubularin-related protein 9",-1.67,0.000476
"2553","MTMRC_MOUSE|Q80TA6","Mtmr12","Myotubularin-related protein 12",-4.18,0.00173
"2554","MTNA_MOUSE|Q9CQT1","Mri1","Methylthioribose-1-phosphate isomerase",-1.9,0.0112
"2555","MTO1_MOUSE|Q923Z3","Mto1","Protein MTO1 homolog, mitochondrial",-1.57,0.00401
"2556","MTOR_MOUSE|Q9JLN9","Mtor","Serine/threonine-protein kinase mTOR",-1.55,0.0122
"2557","MTPN_MOUSE|P62774","Mtpn","Myotrophin",-1.23,0.0252
"2558","MTSS1_MOUSE|Q8R1S4","Mtss1","Metastasis suppressor protein 1",-8.31,0.00654
"2559","MTSSL_MOUSE|Q6P9S0","Mtss1l","MTSS1-like protein",-12.4,0.00112
"2560","MTUS2_MOUSE|Q3UHD3","Mtus2","Microtubule-associated tumor suppressor candidate 2 homolog",-12,0.000478
"2561","MTX1_MOUSE|P47802","Mtx1","Metaxin-1",-1.57,0.00112
"2562","MTX2_MOUSE|O88441","Mtx2","Metaxin-2",-1.54,0.00557
"2563","MUTA_MOUSE|P16332","Mut","Methylmalonyl-CoA mutase, mitochondrial",-1.52,0.00752
"2564","MVP_MOUSE|Q9EQK5","Mvp","Major vault protein",-1.36,0.0144
"2565","MY18A_MOUSE|Q9JMH9","Myo18a","Unconventional myosin-XVIIIa",-2.9,0.00153
"2566","MY18A_MOUSE|Q9JMH9-6","Myo18a","Unconventional myosin-XVIIIa (isoform 6)",-3.63,0.000985
"2567","MYCB2_MOUSE|Q7TPH6","Mycbp2","E3 ubiquitin-protein ligase MYCBP2",-1.77,0.00172
"2568","MYCT_MOUSE|Q3UHK1","Slc2a13","Proton myo-inositol cotransporter",-2.16,0.00224
"2569","MYDGF_MOUSE|Q9CPT4","Mydgf","Myeloid-derived growth factor",1.01,0.719
"2570","MYEF2_MOUSE|Q8C854","Myef2","Myelin expression factor 2",-2.18,0.000423
"2571","MYG1_MOUSE|Q9JK81","Myg1","UPF0160 protein MYG1, mitochondrial",-1.44,0.0205
"2572","MYH10_MOUSE|Q61879","Myh10","Myosin-10",-1.55,0.0024
"2573","MYH14_MOUSE|Q6URW6","Myh14","Myosin-14",-1.41,0.062
"2574","MYH3_MOUSE|P13541","Myh3","Myosin-3",-1.24,0.169
"2575","MYH9_MOUSE|Q8VDD5","Myh9","Myosin-9",-1.43,0.0031
"2576","MYL1_MOUSE|P05977","Myl1","Myosin light chain 1/3, skeletal muscle isoform",-1.02,0.758
"2577","MYL6_MOUSE|Q60605","Myl6","Myosin light polypeptide 6",-1.09,0.0129
"2578","MYL6B_MOUSE|Q8CI43","Myl6b","Myosin light chain 6B",-1.21,0.0209
"2579","MYLK_MOUSE|Q6PDN3","Mylk","Myosin light chain kinase, smooth muscle",1.11,0.592
"2580","MYO16_MOUSE|Q5DU14","Myo16","Unconventional myosin-XVI",-2.1,0.00424
"2581","MYO1A_MOUSE|O88329","Myo1a","Unconventional myosin-Ia",-1.54,0.0123
"2582","MYO1B_MOUSE|P46735","Myo1b","Unconventional myosin-Ib",-1.38,0.0142
"2583","MYO1C_MOUSE|Q9WTI7","Myo1c","Unconventional myosin-Ic",-1.15,0.419
"2584","MYO1D_MOUSE|Q5SYD0","Myo1d","Unconventional myosin-Id",-1.55,0.00847
"2585","MYO1E_MOUSE|E9Q634","Myo1e","Unconventional myosin-Ie",-1.3,0.276
"2586","MYO5A_MOUSE|Q99104","Myo5a","Unconventional myosin-Va",-1.71,0.000555
"2587","MYO6_MOUSE|Q64331","Myo6","Unconventional myosin-VI",-1.56,0.0141
"2588","MYO9A_MOUSE|Q8C170","Myo9a","Unconventional myosin-IXa",-3.49,0.00284
"2589","MYOF_MOUSE|Q69ZN7","Myof","Myoferlin",-1.03,0.833
"2590","MYOME_MOUSE|Q80YT7","Pde4dip","Myomegalin",-8.34,0.00326
"2591","MYOME_MOUSE|Q80YT7-2","Pde4dip","Myomegalin (isoform 2)",-8.61,0.000395
"2592","MYPR_MOUSE|P60202","Plp1","Myelin proteolipid protein",1,0.811
"2593","MYPT1_MOUSE|Q9DBR7","Ppp1r12a","Protein phosphatase 1 regulatory subunit 12A",-5.64,0.00107
"2594","MYRIP_MOUSE|Q8K3I4","Myrip","Rab effector MyRIP",-11.1,0.00294
"2595","MYSM1_MOUSE|Q69Z66","Mysm1","Histone H2A deubiquitinase MYSM1",-3.32,0.00134
"2596","MYT1L_MOUSE|P97500","Myt1l","Myelin transcription factor 1-like protein",-9.57,0.000913
"2597","NAA15_MOUSE|Q80UM3","Naa15","N-alpha-acetyltransferase 15, NatA auxiliary subunit",-1.44,0.0107
"2598","NAA25_MOUSE|Q8BWZ3","Naa25","N-alpha-acetyltransferase 25, NatB auxiliary subunit",-1.9,0.00378
"2599","NAA30_MOUSE|Q8CES0","Naa30","N-alpha-acetyltransferase 30",-2.06,0.00108
"2600","NAA35_MOUSE|Q6PHQ8","Naa35","N-alpha-acetyltransferase 35, NatC auxiliary subunit",-1.97,0.00357
"2601","NAA50_MOUSE|Q6PGB6","Naa50","N-alpha-acetyltransferase 50",-1.29,0.0199
"2602","NAC1_MOUSE|P70414","Slc8a1","Sodium/calcium exchanger 1",-2.12,0.00177
"2603","NAC2_MOUSE|Q8K596",NA,NA,-1.8,0.00161
"2604","NAC3_MOUSE|S4R2P9-2",NA,NA,-2.03,0.00315
"2605","NACAD_MOUSE|Q5SWP3","Nacad","NAC-alpha domain-containing protein 1",-24.9,0.00178
"2606","NACAM_MOUSE|P70670","Naca","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",-1.41,0.0117
"2607","NACC1_MOUSE|Q7TSZ8","Nacc1","Nucleus accumbens-associated protein 1",-1.63,0.00281
"2608","NAGA_MOUSE|Q8JZV7","Amdhd2","Putative N-acetylglucosamine-6-phosphate deacetylase",-1.28,0.0301
"2609","NAGAB_MOUSE|Q9QWR8","Naga","Alpha-N-acetylgalactosaminidase",-1.4,0.0751
"2610","NAGK_MOUSE|Q9QZ08","Nagk","N-acetyl-D-glucosamine kinase",-1.33,0.0309
"2611","NAKD2_MOUSE|Q8C5H8","Nadk2","NAD kinase 2, mitochondrial",-1.37,0.0209
"2612","NAMPT_MOUSE|Q99KQ4","Nampt","Nicotinamide phosphoribosyltransferase",-1.41,0.0315
"2613","NASP_MOUSE|Q99MD9","Nasp","Nuclear autoantigenic sperm protein",-1.09,0.196
"2614","NAT10_MOUSE|Q8K224","Nat10","N-acetyltransferase 10",-4.24,0.0018
"2615","NAT14_MOUSE|Q8BVG8","Nat14","N-acetyltransferase 14",-1.55,0.0114
"2616","NAT8L_MOUSE|Q3UGX3","Nat8l","N-acetylaspartate synthetase",-1.83,0.00834
"2617","NAV1_MOUSE|Q8CH77","Nav1","Neuron navigator 1",-17.8,0.00182
"2618","NAV3_MOUSE|Q80TN7","Nav3","Neuron navigator 3",-4.71,0.00196
"2619","NB5R1_MOUSE|Q9DB73","Cyb5r1","NADH-cytochrome b5 reductase 1",-1.25,0.282
"2620","NB5R3_MOUSE|Q9DCN2","Cyb5r3","NADH-cytochrome b5 reductase 3",-1.44,0.0485
"2621","NBEA_MOUSE|Q9EPN1","Nbea","Neurobeachin",-2.62,0.00275
"2622","NCALD_MOUSE|Q91X97","Ncald","Neurocalcin-delta",-2.04,6.5e-05
"2623","NCAM1_MOUSE|P13595","Ncam1","Neural cell adhesion molecule 1",-2.43,0.0023
"2624","NCAM2_MOUSE|O35136","Ncam2","Neural cell adhesion molecule 2",-1.62,0.00699
"2625","NCAN_MOUSE|P55066","Ncan","Neurocan core protein",-1.3,0.19
"2626","NCBP3_MOUSE|Q8BZR9",NA,NA,-3.8,0.00127
"2627","NCDN_MOUSE|Q9Z0E0","Ncdn","Neurochondrin",-1.93,0.00264
"2628","NCEH1_MOUSE|Q8BLF1","Nceh1","Neutral cholesterol ester hydrolase 1",-1.62,0.00479
"2629","NCHL1_MOUSE|P70232","Chl1","Neural cell adhesion molecule L1-like protein",-1.43,0.0172
"2630","NCK1_MOUSE|Q99M51","Nck1","Cytoplasmic protein NCK1",-4.03,0.000849
"2631","NCK2_MOUSE|O55033","Nck2","Cytoplasmic protein NCK2",-4.32,0.000606
"2632","NCKP1_MOUSE|P28660","Nckap1","Nck-associated protein 1",-1.61,0.0105
"2633","NCKPL_MOUSE|Q8K1X4",NA,NA,-2.39,0.000654
"2634","NCKX4_MOUSE|Q8CGQ8","Slc24a4","Sodium/potassium/calcium exchanger 4",-1.77,0.00403
"2635","NCLN_MOUSE|Q8VCM8","Ncln","Nicalin",-1.71,0.00925
"2636","NCOA1_MOUSE|P70365","Ncoa1","Nuclear receptor coactivator 1",-4.77,0.0028
"2637","NCOA5_MOUSE|Q91W39","Ncoa5","Nuclear receptor coactivator 5",-1.98,0.00254
"2638","NCOA7_MOUSE|Q6DFV7","Ncoa7","Nuclear receptor coactivator 7",-12.7,0.00263
"2639","NCOR1_MOUSE|Q60974","Ncor1","Nuclear receptor corepressor 1",-8.3,0.00151
"2640","NCOR2_MOUSE|Q9WU42","Ncor2","Nuclear receptor corepressor 2",-9.5,0.00103
"2641","NCPR_MOUSE|P37040","Por","NADPH--cytochrome P450 reductase",-1.57,0.00264
"2642","NDEL1_MOUSE|Q9ERR1","Ndel1","Nuclear distribution protein nudE-like 1",-13.3,0.00136
"2643","NDK3_MOUSE|Q9WV85","Nme3","Nucleoside diphosphate kinase 3",-1.36,0.0405
"2644","NDKA_MOUSE|P15532","Nme1","Nucleoside diphosphate kinase A",-1.33,0.00428
"2645","NDKB_MOUSE|Q01768","Nme2","Nucleoside diphosphate kinase B",1.1,0.0648
"2646","NDRG1_MOUSE|Q62433","Ndrg1","Protein NDRG1",-1.53,0.000546
"2647","NDRG2_MOUSE|Q9QYG0","Ndrg2","Protein NDRG2",-1.73,0.0026
"2648","NDRG3_MOUSE|Q9QYF9","Ndrg3","Protein NDRG3",-1.83,0.00269
"2649","NDRG4_MOUSE|Q8BTG7","Ndrg4","Protein NDRG4",-1.83,0.00199
"2650","NDUA1_MOUSE|O35683","Ndufa1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1",-2.15,0.00168
"2651","NDUA2_MOUSE|Q9CQ75","Ndufa2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2",-1.83,0.000954
"2652","NDUA3_MOUSE|Q9CQ91","Ndufa3","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3",-1.84,0.0182
"2653","NDUA4_MOUSE|Q62425","Ndufa4","Cytochrome c oxidase subunit NDUFA4",-1.72,0.0407
"2654","NDUA5_MOUSE|Q9CPP6","Ndufa5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5",-1.42,0.0446
"2655","NDUA6_MOUSE|Q9CQZ5","Ndufa6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6",-1.67,0.0167
"2656","NDUA7_MOUSE|Q9Z1P6","Ndufa7","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",-1.62,0.000106
"2657","NDUA8_MOUSE|Q9DCJ5","Ndufa8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8",-1.68,0.000895
"2658","NDUA9_MOUSE|Q9DC69","Ndufa9","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",-1.46,0.0401
"2659","NDUAA_MOUSE|Q99LC3","Ndufa10","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",-1.55,0.0109
"2660","NDUAB_MOUSE|Q9D8B4","Ndufa11","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11",-1.31,0.139
"2661","NDUAC_MOUSE|Q7TMF3","Ndufa12","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12",-1.57,0.0152
"2662","NDUAD_MOUSE|Q9ERS2","Ndufa13","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13",-1.58,0.00932
"2663","NDUB3_MOUSE|Q9CQZ6","Ndufb3","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3",-1.72,0.0295
"2664","NDUB4_MOUSE|Q9CQC7","Ndufb4","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4",-1.66,0.0223
"2665","NDUB5_MOUSE|Q9CQH3","Ndufb5","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",-1.66,0.0122
"2666","NDUB6_MOUSE|Q3UIU2","Ndufb6","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6",-1.61,0.00691
"2667","NDUB7_MOUSE|Q9CR61","Ndufb7","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7",-1.88,0.0038
"2668","NDUB8_MOUSE|Q9D6J5","Ndufb8","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",-1.58,0.0371
"2669","NDUB9_MOUSE|Q9CQJ8","Ndufb9","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9",-1.56,0.00647
"2670","NDUBA_MOUSE|Q9DCS9","Ndufb10","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10",-1.62,0.00471
"2671","NDUBB_MOUSE|O09111","Ndufb11","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",-1.51,0.0478
"2672","NDUC2_MOUSE|Q9CQ54","Ndufc2","NADH dehydrogenase [ubiquinone] 1 subunit C2",-1.6,0.0109
"2673","NDUF2_MOUSE|Q59J78",NA,NA,-1.58,0.00698
"2674","NDUF3_MOUSE|Q9JKL4","Ndufaf3","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3",-1.41,0.0227
"2675","NDUF7_MOUSE|Q9CWG8","Ndufaf7","NADH dehydrogenase [ubiquinone] complex I, assembly factor 7",-1.73,0.0022
"2676","NDUS1_MOUSE|Q91VD9","Ndufs1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",-1.56,0.00413
"2677","NDUS2_MOUSE|Q91WD5","Ndufs2","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",-1.55,0.00485
"2678","NDUS3_MOUSE|Q9DCT2","Ndufs3","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",-1.44,0.102
"2679","NDUS4_MOUSE|Q9CXZ1","Ndufs4","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",-1.45,0.000413
"2680","NDUS5_MOUSE|Q99LY9","Ndufs5","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5",-1.88,0.000315
"2681","NDUS6_MOUSE|P52503","Ndufs6","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",-1.14,0.367
"2682","NDUS7_MOUSE|Q9DC70","Ndufs7","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",-1.58,0.01
"2683","NDUS8_MOUSE|Q8K3J1","Ndufs8","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",-1.37,0.0139
"2684","NDUV1_MOUSE|Q91YT0","Ndufv1","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",-1.67,0.00315
"2685","NDUV2_MOUSE|Q9D6J6","Ndufv2","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",-1.26,0.0219
"2686","NEB2_MOUSE|Q6R891","Ppp1r9b","Neurabin-2",-16.3,0.000696
"2687","NECA1_MOUSE|Q8BG18","Necab1","N-terminal EF-hand calcium-binding protein 1",-1.99,0.00292
"2688","NECA2_MOUSE|Q91ZP9","Necab2","N-terminal EF-hand calcium-binding protein 2",-3.65,0.000412
"2689","NECP1_MOUSE|Q9CR95","Necap1","Adaptin ear-binding coat-associated protein 1",-3.71,0.00243
"2690","NECP2_MOUSE|Q9D1J1","Necap2","Adaptin ear-binding coat-associated protein 2",-1.55,0.0273
"2691","NECT1_MOUSE|Q9JKF6",NA,NA,-4.51,0.00882
"2692","NECT3_MOUSE|Q9JLB9",NA,NA,-11.8,0.00134
"2693","NED4L_MOUSE|Q8CFI0","Nedd4l","E3 ubiquitin-protein ligase NEDD4-like",-2.33,9e-04
"2694","NEDD4_MOUSE|P46935","Nedd4","E3 ubiquitin-protein ligase NEDD4",-1.8,0.0066
"2695","NEDD8_MOUSE|P29595","Nedd8","NEDD8",-1.44,0.00536
"2696","NEK1_MOUSE|P51954","Nek1","Serine/threonine-protein kinase Nek1",-15,0.00128
"2697","NEK4_MOUSE|Q9Z1J2","Nek4","Serine/threonine-protein kinase Nek4",-3.32,0.000878
"2698","NEK9_MOUSE|Q8K1R7","Nek9","Serine/threonine-protein kinase Nek9",-1.72,0.0101
"2699","NELL2_MOUSE|Q61220","Nell2","Protein kinase C-binding protein NELL2",-1.41,0.0859
"2700","NEMF_MOUSE|Q8CCP0","Nemf","Nuclear export mediator factor Nemf",-1.83,0.0038
"2701","NEMO_MOUSE|O88522","Ikbkg","NF-kappa-B essential modulator",-10.5,0.00261
"2702","NEO1_MOUSE|P97798","Neo1","Neogenin",-2,0.00253
"2703","NETO1_MOUSE|Q8R4I7","Neto1","Neuropilin and tolloid-like protein 1",-6.03,0.000608
"2704","NETO2_MOUSE|Q8BNJ6","Neto2","Neuropilin and tolloid-like protein 2",-2.72,0.00323
"2705","NEUA_MOUSE|Q99KK2","Cmas","N-acylneuraminate cytidylyltransferase",-1.63,0.0207
"2706","NEUG_MOUSE|P60761","Nrgn","Neurogranin",-1.38,0.00437
"2707","NEUL_MOUSE|Q91YP2","Nln","Neurolysin, mitochondrial",-1.51,0.013
"2708","NEUL4_MOUSE|Q5NCX5","Neurl4","Neuralized-like protein 4",-2.07,0.000496
"2709","NEUM_MOUSE|P06837","Gap43","Neuromodulin",-2.03,6.66e-07
"2710","NEXN_MOUSE|Q7TPW1","Nexn","Nexilin",-6.83,0.00746
"2711","NF1_MOUSE|Q04690","Nf1","Neurofibromin",-1.66,0.00777
"2712","NFASC_MOUSE|Q810U3","Nfasc","Neurofascin",-1.76,0.00118
"2713","NFAT5_MOUSE|Q9WV30","Nfat5","Nuclear factor of activated T-cells 5",-4.7,0.000902
"2714","NFH_MOUSE|P19246","Nefh","Neurofilament heavy polypeptide",-18.8,0.00191
"2715","NFIA_MOUSE|Q02780","Nfia","Nuclear factor 1 A-type",-2.03,0.00264
"2716","NFL_MOUSE|P08551","Nefl","Neurofilament light polypeptide",-2.21,0.00174
"2717","NFM_MOUSE|P08553","Nefm","Neurofilament medium polypeptide",-21.2,0.000602
"2718","NFS1_MOUSE|Q9Z1J3","Nfs1","Cysteine desulfurase, mitochondrial",-1.58,0.00116
"2719","NFX1_MOUSE|B1AY10","Nfx1","Transcriptional repressor NF-X1",-11.2,0.00106
"2720","NGEF_MOUSE|Q8CHT1","Ngef","Ephexin-1",-1.69,0.00202
"2721","NGLY1_MOUSE|Q9JI78","Ngly1","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase",-1.9,7.76e-05
"2722","NH2L1_MOUSE|Q9D0T1","Nhp2l1","NHP2-like protein 1",-1.15,0.0316
"2723","NHLC2_MOUSE|Q8BZW8","Nhlrc2","NHL repeat-containing protein 2",-1.82,0.00593
"2724","NHRF1_MOUSE|P70441","Slc9a3r1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1",-1.6,0.00381
"2725","NHSL2_MOUSE|B1AXH1","Nhsl2","NHS-like protein 2",-14.1,0.000513
"2726","NIBL1_MOUSE|Q8R1F1","Fam129b","Niban-like protein 1",-1.5,0.016
"2727","NID2_MOUSE|O88322","Nid2","Nidogen-2",1.63,0.0302
"2728","NIF3L_MOUSE|Q9EQ80",NA,NA,-1.33,0.106
"2729","NIPA_MOUSE|Q80YV2","Zc3hc1","Nuclear-interacting partner of ALK",-2.09,0.000811
"2730","NIPBL_MOUSE|Q6KCD5","Nipbl","Nipped-B-like protein",-2.66,0.000181
"2731","NIPS1_MOUSE|O55125","Nipsnap1","Protein NipSnap homolog 1",-1.6,0.00787
"2732","NIPS2_MOUSE|O55126","Gbas","Protein NipSnap homolog 2",-1.73,0.0116
"2733","NISCH_MOUSE|Q80TM9","Nisch","Nischarin",-2.78,0.000464
"2734","NIT1_MOUSE|Q8VDK1","Nit1","Nitrilase homolog 1",-1.58,0.000155
"2735","NIT2_MOUSE|Q9JHW2","Nit2","Omega-amidase NIT2",-1.53,0.00184
"2736","NKAP_MOUSE|Q9D0F4","Nkap","NF-kappa-B-activating protein",-1.38,0.0848
"2737","NKAPL_MOUSE|Q5SZT7",NA,NA,-1.46,0.0264
"2738","NKRF_MOUSE|Q8BY02","Nkrf","NF-kappa-B-repressing factor",-1.73,0.000161
"2739","NLGN1_MOUSE|Q99K10","Nlgn1","Neuroligin-1",-1.9,0.00919
"2740","NLGN2_MOUSE|Q69ZK9","Nlgn2","Neuroligin-2",-1.71,0.000153
"2741","NLGN3_MOUSE|Q8BYM5","Nlgn3","Neuroligin-3",-1.65,0.00943
"2742","NLGN4_MOUSE|B0F2B4","Nlgn4l","Neuroligin 4-like",-1.68,0.0034
"2743","NLRX1_MOUSE|Q3TL44","Nlrx1","NLR family member X1",-1.64,0.00156
"2744","NLTP_MOUSE|P32020","Scp2","Non-specific lipid-transfer protein",-1.23,0.00235
"2745","NMDE1_MOUSE|P35436","Grin2a","Glutamate receptor ionotropic, NMDA 2A",-13.4,0.00223
"2746","NMDE2_MOUSE|Q01097","Grin2b","Glutamate receptor ionotropic, NMDA 2B",-8.98,0.00184
"2747","NMDZ1_MOUSE|P35438","Grin1","Glutamate receptor ionotropic, NMDA 1",-2.06,0.00633
"2748","NMNA1_MOUSE|Q9EPA7","Nmnat1","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1",-2.26,0.00632
"2749","NMRL1_MOUSE|Q8K2T1","Nmral1","NmrA-like family domain-containing protein 1",-1.62,0.00182
"2750","NMT1_MOUSE|O70310","Nmt1","Glycylpeptide N-tetradecanoyltransferase 1",-1.87,0.00355
"2751","NMT2_MOUSE|O70311","Nmt2","Glycylpeptide N-tetradecanoyltransferase 2",-2.81,0.000522
"2752","NNRD_MOUSE|Q9CZ42","Carkd","ATP-dependent (S)-NAD(P)H-hydrate dehydratase",-1.67,0.00519
"2753","NNRE_MOUSE|Q8K4Z3","Apoa1bp","NAD(P)H-hydrate epimerase",-1.5,0.0248
"2754","NNTM_MOUSE|Q61941","Nnt","NAD(P) transhydrogenase, mitochondrial",1.57,0.0152
"2755","NO40_MOUSE|Q9ESX4","Zcchc17","Nucleolar protein of 40 kDa",-1.29,0.13
"2756","NOCT_MOUSE|O35710","Ccrn4l","Nocturnin",-1.69,0.0109
"2757","NOE1_MOUSE|O88998","Olfm1","Noelin",-1.53,0.00571
"2758","NOE3_MOUSE|P63056","Olfm3","Noelin-3",-1.46,0.00129
"2759","NOG1_MOUSE|Q99ME9","Gtpbp4","Nucleolar GTP-binding protein 1",-1.57,0.00269
"2760","NOL8_MOUSE|Q3UHX0","Nol8","Nucleolar protein 8",-8.54,0.00188
"2761","NOLC1_MOUSE|E9Q5C9",NA,NA,-5.32,0.00542
"2762","NOMO1_MOUSE|Q6GQT9","Nomo1","Nodal modulator 1",-1.44,0.0337
